Title,Link,Description,Publication Date,Category
Plea in Supreme Court seeks probe into post-poll market crash,https://www.thehindu.com/news/national/application-filed-in-sc-on-post-ls-polls-stock-market-fall/article68264254.ece,Petition says the significant recent fall in the stock market and the reported loss of crores showed ‘nothing has changed’ since the Adani-Hindenberg case,"Fri, 07 Jun 2024 22:43:50 +0530",India
Markets hold on to early gains after RBI monetary policy decision,https://www.thehindu.com/business/markets/markets-hold-on-to-early-gains-after-rbi-monetary-policy-decision/article68262255.ece," Interest rate-sensitive bank, realty and auto stocks were trading with gains","Fri, 07 Jun 2024 12:20:50 +0530",Markets
Rupee rises 6 paise to 83.47 against U.S. dollar in early trade,https://www.thehindu.com/business/markets/rupee-rises-6-paise-to-8347-against-us-dollar-in-early-trade/article68262017.ece,"At the interbank foreign exchange market, the local unit opened at 83.46 and then slipped to 83.47 against the greenback, registering a gain of 6 paise from its previous close","Fri, 07 Jun 2024 10:00:34 +0530",Markets
Rupee falls five paise to 83.49 against U.S. dollar,https://www.thehindu.com/business/markets/rupee-falls-five-paise-to-8349-against-us-dollar/article68258594.ece,"At the interbank foreign exchange market, the local unit opened at 83.40 and touched the intra-day low of 83.50 against the greenback during the session.","Thu, 06 Jun 2024 16:35:23 +0530",Markets
Stock markets extend rally to 2nd day on easing political worries,https://www.thehindu.com/business/markets/stock-markets-extend-rally-to-2nd-day-on-easing-political-worries/article68258588.ece,"Tech Mahindra, HCL Technologies, State Bank of India, NTPC, Infosys, Larsen & Toubro, Tata Consultancy Services and Wipro emerged as the biggest gainers.","Thu, 06 Jun 2024 16:18:17 +0530",Markets
SEBI’s framework to shield stock prices against market rumours: Explained,https://www.thehindu.com/business/markets/sebi-framework-to-shield-stock-prices-against-market-rumours/article68254547.ece,SEBI on May 21 introduced a framework to tackle the impact of market rumours on the price of a scrip.,"Thu, 06 Jun 2024 14:21:53 +0530",Markets
Rupee rises 1 paisa to 83.43 against U.S. dollar in early trade,https://www.thehindu.com/business/markets/rupee-rises-1-paisa-to-8343-against-us-dollar-in-early-trade/article68257941.ece,Forex traders said an upward movement in the crude oil prices resisted a sharp rise in the Indian currency even as investors moved cautiously ,"Thu, 06 Jun 2024 10:48:41 +0530",Markets
Markets extend winning momentum to second day running,https://www.thehindu.com/business/markets/markets-extend-winning-momentum-to-second-day-running/article68257949.ece," Among the 30 Sensex companies, NTPC, State Bank of India, Power Grid, Tata Steel, Tech Mahindra and HCL Technologies emerged as the biggest gainers","Thu, 06 Jun 2024 10:45:14 +0530",Markets
Investors become richer by ₹13.22 lakh crore as markets bounce back after rout,https://www.thehindu.com/business/markets/investors-become-richer-by-1322-lakh-crore-as-markets-bounce-back-after-rout/article68255208.ece,"In line with optimism returning at the Dalal Street, the market capitalisation of BSE-listed companies jumped ₹13,22,847.05 crore to ₹4,08,06,552.32 crore ($4.89 trillion) on June 5.","Wed, 05 Jun 2024 18:52:16 +0530",Markets
Sebi makes process of securities payout directly to client’s account mandatory,https://www.thehindu.com/business/markets/sebi-makes-process-of-securities-payout-directly-to-clients-account-mandatory/article68254753.ece,SEBI has decided that ‘the securities for pay-out shall be credited directly to the respective client’s demat account by the CCs’.,"Wed, 05 Jun 2024 17:28:08 +0530",Markets
Rupee rebounds 14 paise to 83.37 against US dollar,https://www.thehindu.com/business/markets/rupee-rebounds-14-paise-to-8337-against-us-dollar/article68254839.ece,"A surging greenback against major crosses overseas and fresh foreign fund outflows restricted gains in the local currency, forex traders said.","Wed, 05 Jun 2024 17:02:26 +0530",Markets
Stock markets bounce back 3% after bloodbath on value-buying,https://www.thehindu.com/business/markets/stock-markets-bounce-back-3-after-bloodbath-on-value-buying/article68254836.ece,"Bouncing back from June 4's debacle, the 30-share BSE Sensex jumped 2,303.19 points or 3.20% to settle at 74,382.24 on value buying in banking, auto and oil shares. ","Wed, 05 Jun 2024 16:58:31 +0530",Markets
Rupee gains 7 paise to 83.44 against U.S. dollar in early trade,https://www.thehindu.com/business/markets/rupee-gains-7-paise-to-8344-against-us-dollar-in-early-trade/article68253955.ece,"Forex traders said the rush for value-buying triggered an uptrend in equity markets, boosting the local currency which saw a steep decline on June 4 after the general elections results showed a less-than-expected majority for the BJP-led NDA","Wed, 05 Jun 2024 10:31:10 +0530",Markets
Markets bounce back in early trade after massive drop on value-buying at lower levels,https://www.thehindu.com/business/markets/markets-bounce-back-in-early-trade-after-massive-drop-on-value-buying-at-lower-levels/article68253970.ece,"Sensex nosedived 4,389.73 points to settle at a more than two-month low of 72,079.05 on June 4","Wed, 05 Jun 2024 10:14:15 +0530",Markets
Sensex plunges 5.7% as BJP fails to win majority on its own   ,https://www.thehindu.com/business/markets/sensex-plunges-57-as-bjp-fails-to-win-majority-on-its-own/article68251438.ece,Benchmark suffers its worst fall in more than four years; investors apprehensive that a coalition government would slow the BJP’s policy reforms agenda  ,"Tue, 04 Jun 2024 20:49:13 +0530",Markets
Bloodbath on D-Street on vote counting day: Sensex suffers worst single-day retreat in 4 years,https://www.thehindu.com/business/markets/bloodbath-on-d-street-on-vote-counting-day-sensex-suffers-worst-single-day-retreat-in-4-years/article68251060.ece,"Sensex and Nifty had previously declined by around 13 per cent on March 23, 2020, when lockdown was imposed due to the COVID-19 pandemic","Tue, 04 Jun 2024 18:50:55 +0530",Markets
Rupee plunges 45 paise to close at 83.59 against US dollar,https://www.thehindu.com/business/markets/rupee-plunges-45-paise-to-close-at-8359-against-us-dollar/article68250471.ece,The rupee tumbled on the day of the counting of votes for the Lok Sabha elections,"Tue, 04 Jun 2024 16:21:14 +0530",Markets
Rupee falls 26 paise to 83.40 against U.S. dollar in early trade,https://www.thehindu.com/business/markets/rupee-falls-26-paise-to-8340-against-us-dollar-in-early-trade/article68249318.ece,,"Tue, 04 Jun 2024 10:16:52 +0530",Markets
"Sensex crashes over 6,000 pts; Nifty dives nearly 2,000 points",https://www.thehindu.com/business/markets/sensex-nifty-tank-in-early-trade-as-initial-counting-for-lok-sabha-polls-showed-mixed-trend/article68249262.ece,,"Tue, 04 Jun 2024 09:56:26 +0530",Markets
"Sensex, Nifty hit all-time high as exit polls predict massive win for BJP-led NDA",https://www.thehindu.com/business/markets/sensex-nifty-race-over-3-pc-to-record-highs-as-exit-polls-predict-massive-win-for-bjp-led-nda/article68246361.ece,"Exit polls on Saturday predicted that Prime Minister Narendra Modi will retain power for a third straight term, with the BJP-led NDA expected to win a big majority in the Lok Sabha polls.","Mon, 03 Jun 2024 17:12:04 +0530",Markets
Rupee surges 38 paise to 83.04 against U.S. dollar in early trade,https://www.thehindu.com/business/markets/rupee-surges-38-paise-to-8304-against-us-dollar-in-early-trade/article68245570.ece,"At the interbank foreign exchange market, the local unit opened at 83.09 and gained further to trade at 83.04 against the greenback in initial deals, registering an increase of 38 paise from its previous close","Mon, 03 Jun 2024 12:06:10 +0530",Markets
Sharp rally in markets makes investors richer by ₹12.48 lakh crore in morning trade,https://www.thehindu.com/business/markets/stock-markets-exchange-nifty-bse-rupee-record-gains-points-june-3-2024/article68245330.ece,"The market capitalisation of BSE-listed companies climbed ₹12,48,952.68 crore to hit an all-time peak of ₹4,24,61,833.82 crore ($5.10 trillion) during the morning trade.","Mon, 03 Jun 2024 08:46:36 +0530",Markets
How do markets look at election results?,https://www.thehindu.com/business/markets/how-do-markets-look-at-election-results/article68242108.ece,"Markets turn particularly volatile in the run-up to an election season. Investors are on the lookout for a stable government which has its focus on pursuing economic development, investing in infrastructure and spurring economic activity. ","Sun, 02 Jun 2024 17:38:05 +0530",Markets
"FPIs take out ₹25,586 crore from equities in May on poll jitters, attractive valuations in China",https://www.thehindu.com/business/markets/fpis-take-out-25586-crore-from-equities-in-may-on-poll-jitters-attractive-valuations-in-china/article68242440.ece," Going ahead, election results, which will be out on June 4, could determine FPIs flows into Indian equities in the near future.","Sun, 02 Jun 2024 11:44:02 +0530",Markets
"Sensex snaps 5-day losing streak on value buying, closes up 75 points",https://www.thehindu.com/business/markets/sensex-snaps-5-day-losing-streak-on-value-buying-closes-up-75-points/article68235857.ece,,"Fri, 31 May 2024 16:38:38 +0530",Markets
Rupee plunges 20 paise to settle at 83.49 against U.S. dollar,https://www.thehindu.com/business/markets/rupee-plunges-20-paise-to-settle-at-8349-against-us-dollar/article68235798.ece,"At the interbank foreign exchange market, the local unit opened at 83.25 and oscillated between the intra-day high of 83.23 and lowest level of 83.49 during the session.","Fri, 31 May 2024 16:30:43 +0530",Markets
