Title,Link,Description,Publication Date,Category
Suresh Gopi: The Saffron star,https://www.thehindu.com/news/national/suresh-gopi-the-saffron-star/article68267492.ece,The actor-turned politician made history in Kerala by getting elected as the first BJP Lok Sabha member from the State,"Sun, 09 Jun 2024 03:12:00 +0530",India
Geniben Thakor: The giant killer,https://www.thehindu.com/news/national/geniben-thakor-the-giant-killer/article68267477.ece,The Congress leader denied the BJP a hat-trick clean sweep of Gujarat by winning the Banaskantha constituency,"Sun, 09 Jun 2024 02:49:00 +0530",India
Chandrashekhar Azad: The Dalit commander,https://www.thehindu.com/news/national/chandrashekhar-azad-the-dalit-commander/article68267463.ece,"The leader of the Azad Samaj Party, who won from U.P.’s Nagina, says his work will be for Dalits, tribals, Muslims, youth and women, and it will always be against injustice","Sun, 09 Jun 2024 02:31:00 +0530",India
INDIA bloc leaders to jointly decide on attending PM’s oath-taking ceremony ,https://www.thehindu.com/news/national/india-bloc-leaders-to-jointly-decide-on-attending-pms-oath-taking-ceremony/article68267691.ece,"Sources confirm to The Hindu that by June 8 evening invites were sent out to prominent Opposition leaders, including those from the Congress","Sun, 09 Jun 2024 02:19:50 +0530",India
N. Chandrababu Naidu: Return of the kingmaker ,https://www.thehindu.com/news/national/n-chandrababu-naidu-return-of-the-kingmaker/article68267454.ece,The ‘CEO of Andhra Pradesh’ is back in power in the State with a resounding mandate and has emerged as a key player at the Centre as his Telugu Desam Party is the second largest constituent in the BJP-led National Democratic Alliance,"Sun, 09 Jun 2024 02:09:00 +0530",India
Ghulam Nabi Azad’s DPAP fails to open its account in maiden polls in J&K,https://www.thehindu.com/news/national/jammu-and-kashmir/ghulam-nabi-azads-dpap-fails-to-open-its-account-in-maiden-polls-in-jk/article68266498.ece,"The DPAP’s candidates only managed to bag 80,264 votes from the three Lok Sabha constituencies it contested in Jammu and Kashmir, which has around 54 lakh voters","Sun, 09 Jun 2024 01:40:00 +0530",Jammu and Kashmir
Prajwal Revanna case: What survivors expect from the State govt ,https://www.thehindu.com/news/national/karnataka/prajwal-revanna-case-what-survivors-expect-from-the-state-govt/article68266605.ece,The primary concern that survivors raised was secrecy,"Sun, 09 Jun 2024 01:36:49 +0530",Karnataka
SIT traces donor involved in Kerala organ trade case,https://www.thehindu.com/news/cities/Kochi/sit-traces-donor-involved-in-kerala-organ-trade-case/article68267006.ece,,"Sun, 09 Jun 2024 01:20:02 +0530",Kochi
"Lok Sabha election result signifies negative politics ending, verdict belongs to PDA: Akhilesh Yadav",https://www.thehindu.com/news/national/uttar-pradesh/lok-sabha-election-result-signifies-negative-politics-ending-verdict-belongs-to-pda-akhilesh-yadav/article68266964.ece,"The Samajwadi Party chief, who won from Kannauj Lok Sabha seat and is likely to resign from the U.P. Leader of Opposition post, says the SP has emerged as a positive movement of social solidarity ","Sun, 09 Jun 2024 01:16:55 +0530",Uttar Pradesh
ICU sexual assault case: new probe report says gynaecologist did not record survivor’s statements fully  ,https://www.thehindu.com/news/cities/kozhikode/icu-sexual-assault-case-new-probe-report-says-gynaecologist-did-not-record-survivors-statements-fully/article68267060.ece,,"Sun, 09 Jun 2024 01:16:32 +0530",Kozhikode
"After 40/40, delving into the nitty-gritty",https://www.thehindu.com/news/national/tamil-nadu/after-4040-delving-into-the-nitty-gritty/article68267689.ece,"For the first time in a Lok Sabha election, the AIADMK forfeited deposits in seven constituencies. For the ruling DMK, the verdict is seen as a popular endorsement of the functioning of its three-year government under Chief Minister M.K. Stalin. The outcome indicates that the BJP, whose Hindutva ideology has all along been considered alien to the political ethos of Tamil Nadu, may emerge as a major force in near future","Sun, 09 Jun 2024 01:09:10 +0530",Tamil Nadu
CSDS-Lokniti post-poll survey: Modi as PM pitch did not cut much ice in Punjab,https://www.thehindu.com/elections/lok-sabha/csds-lokniti-post-poll-survey-modi-as-pm-pitch-did-not-cut-much-ice-in-punjab/article68266725.ece,Data shows that the voters in Punjab considered the candidate as well as the party while making their electoral choice. ,"Sun, 09 Jun 2024 01:04:51 +0530",Lok Sabha Elections
Mallanna wins graduate MLC seat even as Rakesh Reddy  gives tough fight   ,https://www.thehindu.com/news/national/telangana/mallanna-wins-graduate-mlc-seat-even-as-rakesh-reddy-gives-tough-fight/article68266989.ece,,"Sun, 09 Jun 2024 01:00:31 +0530",Telangana
"Kerala women should lead the fight for equal representation, says Annie Raja",https://www.thehindu.com/news/cities/kozhikode/kerala-women-should-lead-the-fight-for-equal-representation-says-annie-raja/article68266862.ece,,"Sun, 09 Jun 2024 01:00:11 +0530",Kozhikode
"CSDS-Lokniti post-poll survey: In Chhattisgarh, women voters give a push to BJP",https://www.thehindu.com/elections/lok-sabha/csds-lokniti-post-poll-survey-in-chhattisgarh-women-voters-give-a-push-to-bjp/article68266734.ece,An interesting pattern that emerges from Chhattisgarh is that non-Congress/non-BJP candidates got support almost exclusively from men only — thus slightly fragmenting the male vote at the cost of the Congress.,"Sun, 09 Jun 2024 01:00:04 +0530",Lok Sabha Elections
"With model code lifted, TGIIC allots land to 113 firms investing ₹2,200 crore in Telangana ",https://www.thehindu.com/news/cities/Hyderabad/with-model-code-lifted-tgiic-allots-land-to-113-firms-investing-2200-crore-in-telangana/article68266987.ece,,"Sun, 09 Jun 2024 00:56:42 +0530",Hyderabad
‘Explain the process for offering grace marks’ ,https://www.thehindu.com/news/national/telangana/explain-the-process-for-offering-grace-marks/article68266654.ece,,"Sun, 09 Jun 2024 00:54:47 +0530",Telangana
CSDS-Lokniti post-poll survey: BJP faces minor challenges in Gujarat,https://www.thehindu.com/elections/lok-sabha/csds-lokniti-post-poll-survey-bjp-faces-minor-challenges-in-gujarat/article68266735.ece,The BJP has a uniform and robust vote share both in rural and urban areas with almost two in every three voters supporting it but the Congress was able to register a slightly better support of voters from rural areas than in urban areas.,"Sun, 09 Jun 2024 00:45:20 +0530",Lok Sabha Elections
"It is people’s aspiration to see me in the Union Cabinet, says C.N. Manjunath ",https://www.thehindu.com/news/national/karnataka/it-is-peoples-aspiration-to-see-me-in-the-union-cabinet-says-cn-manjunath/article68266900.ece,The MP-elect from Bengaluru Rural says his victory was possible because those who were treated at Jayadeva became his ‘ambassadors’,"Sun, 09 Jun 2024 00:40:43 +0530",Karnataka
"CSDS-Lokniti post-poll survey: UDF strikes in Kerala, thanks to strong anti-incumbency wave",https://www.thehindu.com/elections/lok-sabha/csds-lokniti-post-poll-survey-udf-strikes-in-kerala-thanks-to-strong-anti-incumbency-wave/article68266731.ece,"In the 2024 Lok Sabha election in Kerala, the Congress-led front won 18 out of 20 seats; BJP secured its first seat in the State while the LDF retained only one seat; voters considered 2024 poll more as a direct contest between the UDF and the NDA","Sun, 09 Jun 2024 00:38:04 +0530",Lok Sabha Elections
"Taking advantage of a ‘weakened’ BJP, fight for T.N.’s demands, says Chief Minister Stalin",https://www.thehindu.com/news/national/tamil-nadu/taking-advantage-of-a-weakened-bjp-fight-for-tns-demands-says-chief-minister-stalin/article68267196.ece,,"Sun, 09 Jun 2024 00:35:40 +0530",Tamil Nadu
 Residents demand speed breakers on arterial road to prevent accidents ,https://www.thehindu.com/news/national/tamil-nadu/residents-demand-speed-breakers-on-arterial-road-to-prevent-accidents/article68266434.ece," As the stretch is on the pilgrim route, more vehicular movement is witnessed, leading to frequent accidents. No concreate measure were take by the government to ensure the safety of the public, say residents","Sun, 09 Jun 2024 00:11:41 +0530",Tamil Nadu
New borewell for Chendathur village as contaminated water plagues its residents  ,https://www.thehindu.com/news/national/tamil-nadu/new-borewell-for-chendathur-village-as-contaminated-water-plagues-its-residents/article68266454.ece,The new borewell is around 900-ft-deep as the area is an arid region,"Sun, 09 Jun 2024 00:07:45 +0530",Tamil Nadu
Unfinished sewerage work clogs traffic in city ,https://www.thehindu.com/news/national/telangana/unfinished-sewerage-work-clogs-traffic-in-city/article68267095.ece,,"Sun, 09 Jun 2024 00:06:19 +0530",Telangana
SIT formed to probe cattle transporters’ death in Chhattisgarh,https://www.thehindu.com/news/national/chhattisgarh/sit-formed-to-probe-cattle-transporters-death-in-chhattisgarh/article68267134.ece,Case of culpable homicide registered; no arrests yet,"Sun, 09 Jun 2024 00:05:18 +0530",Chhattisgarh
 Students can travel free on govt. buses till they get passes ,https://www.thehindu.com/news/national/tamil-nadu/students-can-travel-free-on-govt-buses-till-they-get-passes/article68266456.ece,,"Sun, 09 Jun 2024 00:04:54 +0530",Tamil Nadu
"Three held for possession of ganja near Katpadi, Arakkonam railway stations",https://www.thehindu.com/news/national/tamil-nadu/three-held-for-possession-of-ganja-near-katpadi-arakkonam-railway-stations/article68266447.ece,,"Sun, 09 Jun 2024 00:02:56 +0530",Tamil Nadu
Body in water tank: police rule out foul play  ,https://www.thehindu.com/news/national/telangana/body-in-water-tank-police-rule-out-foul-play/article68266804.ece,,"Sun, 09 Jun 2024 00:00:38 +0530",Telangana
Delta Air Lines urged to explore direct flights to Hyderabad ,https://www.thehindu.com/news/cities/Hyderabad/delta-air-lines-urged-to-explore-direct-flights-to-hyderabad/article68267176.ece,,"Sat, 08 Jun 2024 23:57:25 +0530",Hyderabad
Two held for smuggling mud from irrigation tank near Arani ,https://www.thehindu.com/news/national/tamil-nadu/two-held-for-smuggling-mud-from-irrigation-tank-near-arani/article68266441.ece,,"Sat, 08 Jun 2024 23:50:20 +0530",Tamil Nadu
Making miracles out of donkey farm  ,https://www.thehindu.com/news/national/kerala/making-miracles-out-of-donkey-farm/article68258531.ece,"Yadhukrishna’s venture, Miracle Donkeys, is making waves in Malabar.","Sat, 08 Jun 2024 23:37:36 +0530",Kerala
"ECI seeks action against Odisha IPS officer, revokes suspension on another",https://www.thehindu.com/news/national/eci-seeks-action-against-odisha-ips-officer-revokes-suspension-on-another/article68267557.ece,"In a letter to the Chief Electoral Officer of Odisha, the ECI said the report of the special medical board of AIIMS, Bhubaneswar, has declared Ashish Kumar Singh, a 2010 batch IPS officer, physically and mentally fit","Sat, 08 Jun 2024 23:14:32 +0530",India
"Normalisation of ties with China must be based on mutual respect, mutual interest, mutual sensitivity: India",https://www.thehindu.com/news/national/normalisation-of-ties-with-china-must-be-based-on-mutual-respect-mutual-interest-mutual-sensitivity-india/article68267544.ece,Ministry of External Affairs Spokesperson Randhir Jaiswal was replying to a congratulatory message to Narendra Modi posted by the Chinese Foreign Ministry on X,"Sat, 08 Jun 2024 23:06:26 +0530",India
Farm workers from West Bengal are sought after for their efficient paddy transplantation work ,https://www.thehindu.com/news/cities/Tiruchirapalli/farm-workers-from-west-bengal-are-sought-after-for-their-efficient-paddy-transplantation-work/article68266799.ece,"A group of 13 workers can complete transplantation on four to five acres; they have been hired every year in Pudukottai, Tiruchi and Mayiladuthurai districts for the past three years   ","Sat, 08 Jun 2024 23:06:23 +0530",Tiruchirapalli
Actor-turned-Trinamool MLA Soham Chakraborty assaults restaurant owner in Kolkata after tiff over parking,https://www.thehindu.com/news/national/actor-turned-trinamool-mla-soham-chakraborty-assaults-restaurant-owner-in-kolkata-after-tiff-over-parking/article68266503.ece,The Chandipur MLA alleged that he lost his cool after the restaurant owner hurled abuses against Trinamool leader Abhishek Banerjee,"Sat, 08 Jun 2024 23:00:34 +0530",India
"VIP culture is not acceptable, Yogi Adityanath tells Ministers",https://www.thehindu.com/news/national/uttar-pradesh/vip-culture-is-not-acceptable-yogi-adityanath-tells-ministers/article68267149.ece,Uttar Pradesh Chief Minister Yogi Adityanath categorically stated that VIP culture is not acceptable. ,"Sat, 08 Jun 2024 22:54:42 +0530",Uttar Pradesh
"Rajasthan CM announces ₹2,000 hike in Kisan Samman Nidhi assistance to farmers after BJP’s dismal performance in LS poll",https://www.thehindu.com/news/national/rajasthan-cm-announces-2000-hike-in-kisan-samman-nidhi-assistance-to-farmers-after-bjps-dismal-performance-in-ls-poll/article68266934.ece,"With the State government’s added contribution, which the BJP had promised ahead of the 2023 Assembly election, Rajasthan farmers will now get paid ₹8,000 per year under the Kisan Samman Nidhi","Sat, 08 Jun 2024 22:52:32 +0530",India
"INDIA bloc partners should work cohesively, collectively: Kharge",https://www.thehindu.com/news/national/kharge-sounds-a-word-of-caution-on-congresss-poor-electoral-performance-in-states-where-it-is-in-power/article68266733.ece,Congress president hails the parties in alliance and urges them to work collectively within and outside Parliament; also calls for remedial steps in States where the Congress did not perform well,"Sat, 08 Jun 2024 22:51:38 +0530",India
Pvt. hospitals directed to instal colour-coded boards with registration number and other details to weed out fraudsters,https://www.thehindu.com/news/national/karnataka/pvt-hospitals-directed-to-instal-colour-coded-boards-with-registration-number-and-other-details-to-weed-out-fraudsters/article68266496.ece,,"Sat, 08 Jun 2024 22:45:48 +0530",Karnataka
Narendra Modi’s coalition Ministry set to assume office on June 9,https://www.thehindu.com/news/national/narendra-modi-coalition-government/article68267333.ece,"TDP likely to get four berths; former CMs such as Chouhan may find a place in govt; over 9,000 invitees, including heads of nations, labourers, welfare beneficiaries, will attend oath-taking event","Sat, 08 Jun 2024 22:45:21 +0530",India
Narendra Modi swearing-in | ‘Neighbourhood First’ to be on show  ,https://www.thehindu.com/elections/lok-sabha/narendra-modi-to-take-oath-as-prime-minister-for-third-consecutive-term/article68267202.ece,Dignitaries and special invitees from India’s neighbouring countries and the Indian Ocean Region will attend the ceremony,"Sat, 08 Jun 2024 22:43:47 +0530",Lok Sabha Elections
Bodies of 4 students who drowned in Russia recovered,https://www.thehindu.com/news/national/bodies-of-4-students-who-drowned-in-russia-recovered/article68267168.ece,The mortal remains are likely be sent to India on June 10 ,"Sat, 08 Jun 2024 22:25:43 +0530",India
Jarange-Patil begins fresh hunger strike for Maratha quota,https://www.thehindu.com/news/national/maharashtra/jarange-patil-begins-fresh-hunger-strike-for-maratha-quota/article68267222.ece,"Activist seeks implementation of proposal to recognise all Maratha blood relatives as Kunbis, who are eligible for OBC certificates; threatens to field candidates in Maharashtra Assembly poll if demand not met","Sat, 08 Jun 2024 22:19:57 +0530",Maharashtra
HC directs school management to reimburse medical and educational expenses of girl who was partially blinded in scuffle between classmates,https://www.thehindu.com/news/national/tamil-nadu/hc-directs-school-management-to-reimburse-medical-and-educational-expenses-of-girl-who-was-partially-blinded-in-scuffle-between-classmates/article68266027.ece,Justice G.K. Ilanthiraiyan orders that the tuition fees must be reimbursed until the girl completes her school education,"Sat, 08 Jun 2024 22:17:21 +0530",Tamil Nadu
Ballari leaders’ association with controversies,https://www.thehindu.com/news/national/karnataka/ballari-leaders-association-with-controversies/article68266589.ece,"In the latest instance, four-time MLA B. Nagendra resigned as Minister for Scheduled Tribes Welfare","Sat, 08 Jun 2024 22:16:35 +0530",Karnataka
Congress Working Committee asks Rahul Gandhi to accept Leader of Opposition post in Lok Sabha,https://www.thehindu.com/elections/lok-sabha/congress-working-committee-asks-rahul-gandhi-to-accept-leader-of-opposition-post-in-lok-sabha/article68267280.ece,Priyanka Gandhi-Vadra applauds her brother for his belief in Congress’s ability to fight back; CWC says Bharat Jodo and Bharat Jodo Nyay yatras were turning points for party workers and voters,"Sat, 08 Jun 2024 22:12:40 +0530",Lok Sabha Elections
Midday meal scheme rate revision: concern over impact on lower primary schools,https://www.thehindu.com/news/national/kerala/midday-meal-scheme-rate-revision-concern-over-impact-on-lower-primary-schools/article68267415.ece,,"Sat, 08 Jun 2024 22:09:41 +0530",Kerala
Restrictions on Petta-Kannammoola road ,https://www.thehindu.com/news/national/kerala/restrictions-on-petta-kannammoola-road/article68267292.ece,,"Sat, 08 Jun 2024 22:09:08 +0530",Kerala
CRDA chief inspects beautification works in Amaravati ,https://www.thehindu.com/news/national/andhra-pradesh/crda-chief-inspects-beautification-works-in-amaravati/article68267367.ece,,"Sat, 08 Jun 2024 22:01:20 +0530",Andhra Pradesh
"Zoo’s oriental darters caught in mess of plastic, other rubbish",https://www.thehindu.com/news/national/kerala/zoos-oriental-darters-caught-in-mess-of-plastic-other-rubbish/article68267190.ece,,"Sat, 08 Jun 2024 22:00:45 +0530",Kerala
"Devendra Fadnavis rescinds resignation, plans strategy for Assembly polls",https://www.thehindu.com/news/national/maharashtra/devendra-fadnavis-rescinds-resignation-plans-strategy-for-assembly-polls/article68266832.ece,This decision came following a party meeting where State BJP legislators expressed their confidence in him and urged him to continue as their leader. ,"Sat, 08 Jun 2024 21:59:14 +0530",Maharashtra
"Things looking up for real estate sector in and around Vijayawada, say experts",https://www.thehindu.com/news/national/andhra-pradesh/things-looking-up-for-real-estate-sector-in-and-around-vijayawada-say-experts/article68266924.ece,"Rise in land and rental prices can be expected, but it will not happen overnight. Visakhapatnam is also going to see some activity as it is one of the growth centres, opines a realtor","Sat, 08 Jun 2024 21:54:27 +0530",Andhra Pradesh
"With good rain, sowing expected to exceed target in north Karnataka ",https://www.thehindu.com/news/national/karnataka/with-good-rain-sowing-expected-to-exceed-target-in-north-karnataka/article68266289.ece,"Farmers are preparing for sowing red gram, cotton, and chilli in rain-fed areas ","Sat, 08 Jun 2024 21:48:02 +0530",Karnataka
Chambers for new Ministers being spruced up at Andhra Pradesh Secretariat,https://www.thehindu.com/news/national/andhra-pradesh/chambers-for-new-ministers-being-spruced-up-at-andhra-pradesh-secretariat/article68267050.ece,Arrangements are also being made for the swearing-in ceremony of Chandrababu Naidu as Chief Minister; authorities are also making arrangements for the conduct of the Legislative Assembly session to enable the MLAs-elect to take oath  ,"Sat, 08 Jun 2024 21:44:20 +0530",Andhra Pradesh
Telangana spends more on processed food and conveyance,https://www.thehindu.com/news/national/telangana/telangana-spends-more-on-processed-food-and-conveyance/article68266774.ece,"Data shows that the percentage share of a selected food item group as a part of the total food expenditure in rural Telangana was for category beverages and processed foods defined as “jams, pickles, etc”, with a value of 23.2","Sat, 08 Jun 2024 21:38:48 +0530",Telangana
NHAI floats EoI for satellite-based tolling system,https://www.thehindu.com/news/national/nhai-floats-eoi-for-satellite-based-tolling-system/article68264106.ece,"Selected company will have to develop geo-referenced map, toll charging software","Sat, 08 Jun 2024 21:33:49 +0530",India
DMK MPs urge Nitish Kumar and Chandrababu Naidu to advise Centre against NEET ,https://www.thehindu.com/news/national/tamil-nadu/dmk-mps-urge-nitish-kumar-and-chandrababu-naidu-to-advise-centre-against-neet/article68267045.ece,"States that seek exemption from NEET should be allowed to dispense with the test. We will raise the issue in Parliament, a resolution said","Sat, 08 Jun 2024 21:31:22 +0530",Tamil Nadu
INDIA not staking claim to form government today does not mean it won’t tomorrow: Mamata Banerjee,https://www.thehindu.com/elections/lok-sabha/india-not-staking-claim-to-form-government-today-does-not-mean-it-wont-tomorrow-mamata-banerjee/article68266968.ece,Trinamool chief Mamata Banerjee said that her party will be in a “wait and watch” mode to see the “weak and unstable” NDA government shunted out of power,"Sat, 08 Jun 2024 21:28:49 +0530",Lok Sabha Elections
‘Farmers in Karaikal to get their annual incentive in few days’,https://www.thehindu.com/news/cities/Tiruchirapalli/farmers-in-karaikal-to-get-their-annual-incentive-in-few-days/article68267031.ece,,"Sat, 08 Jun 2024 21:27:29 +0530",Tiruchirapalli
Fissures in TDP-JSP alliance to the fore in Pithapuram Assembly constituency,https://www.thehindu.com/news/national/andhra-pradesh/fissures-in-tdp-jsp-alliance-to-the-fore-in-pithapuram-assembly-constituency/article68266493.ece,"TDP in-charge Varma, who had sidestepped to enable JSP supremo Pawan Kalyan to enter the fray and emerge victorious in the elections, alleges bid to eliminate him by the supporters of JSP’s Kakinada MP-elect Tangella Uday Srinivas on the night of June 7","Sat, 08 Jun 2024 21:13:50 +0530",Andhra Pradesh
Valmiki corpn. scam: Sharan Prakash Patil denies any role in destruction of evidence,https://www.thehindu.com/news/national/karnataka/valmiki-corpn-scam-sharan-prakash-patil-denies-any-role-in-destruction-of-evidence/article68266287.ece,,"Sat, 08 Jun 2024 21:11:45 +0530",Karnataka
"One dead, two injured after vehicle runs over them in Idukki",https://www.thehindu.com/news/national/kerala/one-dead-two-injured-after-vehicle-runs-over-them-in-idukki/article68267115.ece,,"Sat, 08 Jun 2024 21:10:35 +0530",Kerala
‘RED Book’ hoardings in capital region create a flutter ,https://www.thehindu.com/news/national/andhra-pradesh/red-book-hoardings-in-capital-region-create-a-flutter/article68266942.ece,TDP general secretary and MLA-elect Nara Lokesh reportedly stated earlier that the names of errant officials were noted in a ‘RED Book’,"Sat, 08 Jun 2024 21:10:31 +0530",Andhra Pradesh
Awami Ittehad Party moves court for Engineer Rashid’s release for oath-taking ceremony,https://www.thehindu.com/elections/lok-sabha/awami-ittehad-party-moves-court-for-engineer-rashids-release-for-oath-taking-ceremony/article68266630.ece,He is in Tihar jail for over five years on terror funding charges,"Sat, 08 Jun 2024 21:08:26 +0530",Lok Sabha Elections
Kerala’s forests defy heatwave to record significant dip in fire incidents ,https://www.thehindu.com/news/national/kerala/keralas-forests-defy-heatwave-to-record-significant-dip-in-fire-incidents/article68267052.ece,"From December 1, 2023 to May 31, 2024, the State Forest department recorded 374 incidents of wildfire, down from 457 in the previous season","Sat, 08 Jun 2024 21:06:07 +0530",Kerala
Woman arrested for beating her baby,https://www.thehindu.com/news/national/kerala/woman-arrested-for-beating-her-baby/article68267145.ece,,"Sat, 08 Jun 2024 21:02:12 +0530",Kerala
Gullible men conned of lakhs over ‘dinner dates’,https://www.thehindu.com/news/national/telangana/gullible-men-conned-of-lakhs-over-dinner-dates/article68264250.ece,"Women ‘match’ found in dating app con men during their first dates, order ‘exorbitant’ food items and drinks at a pub and make them pay; cheating case filed against pub hosting these ‘dates’ ","Sat, 08 Jun 2024 21:00:43 +0530",Telangana
 Made a mistake by shifting to Thrissur: Murali,https://www.thehindu.com/news/national/kerala/made-a-mistake-by-shifting-to-thrissur-murali/article68266921.ece,,"Sat, 08 Jun 2024 20:57:06 +0530",Kerala
People’s resistance will be formed against substance abuse: M.B. Rajesh ,https://www.thehindu.com/news/national/kerala/peoples-resistance-will-be-formed-against-substance-abuse-mb-rajesh/article68266935.ece,144 personnel join Excise force ,"Sat, 08 Jun 2024 20:55:52 +0530",Kerala
Flight diverted to Kochi due to bad weather ,https://www.thehindu.com/news/national/kerala/flight-diverted-to-kochi-due-to-bad-weather/article68266995.ece,,"Sat, 08 Jun 2024 20:54:46 +0530",Kerala
Two MPs from Thackeray faction in touch with us: Shiv Sena (Shinde),https://www.thehindu.com/elections/lok-sabha/two-mps-from-thackeray-faction-in-touch-with-us-shiv-sena-shinde/article68266458.ece,"Four more lawmakers might join the two and crossover, says Naresh Mhaske, amid assertions by Sanjay Raut about Shinde factions members wanting to return to the Thackeray faction","Sat, 08 Jun 2024 20:54:13 +0530",Lok Sabha Elections
"Cases against Thrissur DCC president, 20 others over clashes ",https://www.thehindu.com/news/national/kerala/cases-against-thrissur-dcc-president-20-others-over-clashes/article68266829.ece,"KPCC seeks report, likely to change DCC leadership in Thrissur ","Sat, 08 Jun 2024 20:51:21 +0530",Kerala
"With a spike in number of those acing NEET, many medical course aspirants now keen on taking up engineering

",https://www.thehindu.com/news/cities/bangalore/with-a-spike-in-number-of-those-acing-neet-many-medical-course-aspirants-now-keen-on-taking-up-engineering/article68266290.ece,"Compared to previous year, 13,840 more students from Karnataka have qualified in NEET this time","Sat, 08 Jun 2024 20:48:00 +0530",Bengaluru
UTF leaders call for scrapping of G.O. No. 177,https://www.thehindu.com/news/national/andhra-pradesh/utf-leaders-call-for-scrapping-of-go-no-177/article68266370.ece,"Addressing the challenging state of the education sector, UTF district secretary urges the filling of teacher vacancies through the Mega DSC initiative","Sat, 08 Jun 2024 20:47:17 +0530",Andhra Pradesh
"Had post-poll alliance speculations turned into reality, the Supreme Court may not have interfered",https://www.thehindu.com/news/national/had-post-poll-alliance-speculations-turned-into-reality-the-supreme-court-may-not-have-interfered/article68266226.ece,"Rumours flew that the TDP, JD(U) chiefs might join the Opposition INDIA; a January 2006 Supreme Court judgment held that post-poll alliances are solely in the political realm, with little role for courts or Constitutional bodies","Sat, 08 Jun 2024 20:45:17 +0530",India
Four leaders elected to Lok Sabha have less than two weeks to resign from legislature ,https://www.thehindu.com/news/national/karnataka/four-leaders-elected-to-lok-sabha-have-less-than-two-weeks-to-resign-from-assembly/article68263463.ece,Exit of Kumaraswamy and Bommai could weaken the Opposition benches in the Lower House of the State legislature ,"Sat, 08 Jun 2024 20:44:29 +0530",Karnataka
"Class 10 student assaulted in Wayanad school, alleges ragging",https://www.thehindu.com/news/national/kerala/class-10-student-assaulted-in-wayanad-school-alleges-ragging/article68266916.ece,"It is yet to be ascertained whether this was a case of ragging, says the police","Sat, 08 Jun 2024 20:43:48 +0530",Kerala
"Students told to master communication skills, time management",https://www.thehindu.com/news/national/andhra-pradesh/students-told-to-master-communication-skills-time-management/article68266992.ece,,"Sat, 08 Jun 2024 20:40:07 +0530",Andhra Pradesh
"So long, and no thanks for all the lack of fish ",https://www.thehindu.com/opinion/columns/so-long-and-no-thanks-for-all-the-lack-of-fish/article68265881.ece,It is accepted now that porn drove the Internet in its early days. Some 36% of the Net traffic was generated by it. The figure is far less now,"Sat, 08 Jun 2024 20:32:14 +0530",Columns
ISRO all set for third reusable launch vehicle landing experiment,https://www.thehindu.com/news/national/kerala/isro-all-set-for-third-reusable-launch-vehicle-landing-experiment/article68266926.ece,,"Sat, 08 Jun 2024 20:29:52 +0530",Kerala
Cooperation Minister Rajanna thanks voters of Hassan for electing Congress candidate,https://www.thehindu.com/news/national/karnataka/cooperation-minister-rajanna-thanks-voters-of-hassan-for-electing-congress-candidate/article68266903.ece,,"Sat, 08 Jun 2024 20:20:10 +0530",Karnataka
Guarantee schemes should be restricted to genuinely needy: Lakshmana after losing Mysuru seat,https://www.thehindu.com/news/national/karnataka/guarantee-schemes-should-be-restricted-to-genuinely-needy-lakshmana-after-losing-mysuru-seat/article68266672.ece,,"Sat, 08 Jun 2024 20:15:44 +0530",Karnataka
