Title,Link,Description,Publication Date,Category
Can H&M inspire sustainable fashion with better fabrics and higher prices? ,https://www.thehindu.com/life-and-style/can-hm-inspire-sustainable-fashion-with-better-fabrics-and-higher-prices/article68224140.ece,"Ann-Sofie Johansson, H&M’s head of Womenswear Design, talks about circularity in fashion, sustainable fabrics and why she does not believe in fast fashion","Fri, 07 Jun 2024 15:44:27 +0530",Life &amp; Style
Hyderabad: Weavers design the Sonthanga collection with locally sourced organic cotton ,https://www.thehindu.com/life-and-style/the-sonthanga-collection-is-an-initiative-by-malkha-commons-in-hyderabad/article68210799.ece,"An initiative of Malkha Commons brings farmers, spinners and weavers together on a common platform","Thu, 06 Jun 2024 14:21:50 +0530",Life &amp; Style
"Uorfi Javed interview: Men follow me, women stalk me",https://www.thehindu.com/entertainment/uorfi-javed-interview-men-follow-me-women-stalk-me/article68231529.ece,"The viral influencer talks about her role in MTV Splitsvilla and her sartorial innovations, which incorporate unexpected quirks — from a black dress with mechanical birds to an outfit with a glow in the dark planetary system","Fri, 31 May 2024 15:57:12 +0530",Entertainment
Actor Kani Kusruti’s watermelon clutch at Cannes was designed in Kochi  ,https://www.thehindu.com/life-and-style/actor-kani-kusrutis-watermelon-clutch-at-cannes-was-designed-in-kochi/article68220802.ece,Diya John who designed actor Kani Kusruti’s watermelon slice bag talks about how it came to be  ,"Mon, 27 May 2024 17:07:13 +0530",Life &amp; Style
"Sagarika Ghatge pays homage to her royal heritage with luxury fashion brand, Akutee",https://www.thehindu.com/news/cities/bangalore/sagarika-ghatge-pays-homage-to-her-royal-heritage-with-luxury-fashion-brand-akutee/article68199047.ece,"The actor hailing from the royal houses of Kolhapur, interweaves her rich legacy into her fashion brand, Akutee, with hand-painted saris and jackets","Fri, 24 May 2024 20:41:55 +0530",Bengaluru
"Kritikala, a Hyderabad clothing label powered by women artisans",https://www.thehindu.com/life-and-style/fashion/kritikala-a-hyderabad-clothing-label-powered-by-women-artisans/article68195979.ece,"How Hyderabad-based handloom label Kritikala provides livelihoods to women artisans, using ikat, kalamkari and Mangalagiri cotton","Thu, 23 May 2024 14:47:01 +0530",Fashion
Cannes 2024: Nancy Tyagi makes her maiden appearance at festival with self-stitched 20 kg gown,https://www.thehindu.com/entertainment/cannes-2024-nancy-tyagi-makes-her-maiden-appearance-at-festival-with-self-stitched-20kg-gown/article68189951.ece,"The Delhi-based fashion influencer debuted at the 77th Cannes Film Festival wearing a pink ruffled gown, designed and stitched by herself","Sat, 18 May 2024 16:48:22 +0530",Entertainment
Breitling’s CEO on the brand’s new watch technology,https://www.thehindu.com/life-and-style/breitlings-ceo-on-the-brands-new-watch-technology/article68165195.ece,"What makes the 140-year-old watch brand resonate with generations of watch enthusiasts? Hear it from Georges Kern, CEO of Breitling who recently introduced the company’s latest collection in Delhi ","Fri, 17 May 2024 17:34:42 +0530",Life &amp; Style
Abraham & Thakore open a new store in Delhi,https://www.thehindu.com/life-and-style/fashion/abraham-thakore-open-a-new-store-in-delhi/article68181742.ece,"The interiors of Abraham & Thakore’s latest store, co-designed by Studio Organon, compliment the label’s visual grammar ","Fri, 17 May 2024 14:12:33 +0530",Fashion
Alia Bhatt stuns at the Gucci Cruise show 2025,https://www.thehindu.com/entertainment/alia-bhatt-stuns-at-the-gucci-cruise-show-2025/article68174281.ece,"The Bollywood actor also posed for photographs with Hollywood star Demi Moore, singer and actor Debbie Harry and Thai actor Davika Hoorne","Tue, 14 May 2024 16:11:37 +0530",Entertainment
Richa Chadha-Ali Fazal launch sustainable fashion brand Ehaab to preserve Lucknow’s chikankari tradition ,https://www.thehindu.com/life-and-style/richa-chadha-ali-fazal-launch-fashion-brand-ehaab/article68105563.ece,The Bollywood couple hasve collaborated with fashion designer Yasmin Saeed for their ready-to-stitch creations for men and women,"Fri, 10 May 2024 14:42:04 +0530",Life &amp; Style
"Inside the Met Gala 2024: Emma Chamberlain, Zendaya, Alia Bhatt, a fairytale forest and woodland creatures",https://www.thehindu.com/entertainment/inside-the-met-gala-2024-emma-chamberlain-zendaya-alia-bhatt-a-fairytale-forest-and-woodland-creatures/article68148750.ece,"At the Met Gala 2024, the first-timers, no matter how famous in their field, often profess a bit of starstruck wonder at the concentration of celebrity around them","Tue, 07 May 2024 14:55:23 +0530",Entertainment
Met Gala 2024: Shakira makes fashion event debut in voluminous red gown ,https://www.thehindu.com/entertainment/met-gala-2024-shakira-makes-fashion-event-debut-in-voluminous-red-gown/article68148754.ece,The pop star — who posed on the red carpet with Carolina Herrera creative director Wes Gordon — accessorised with simple red platform heels and a diamond rope necklace,"Tue, 07 May 2024 14:36:34 +0530",Entertainment
Met Gala 2024: Kylie Jenner steals the spotlight in ethereal gown,https://www.thehindu.com/entertainment/met-gala-2024-kylie-jenner-steals-the-spotlight-in-ethereal-gown/article68148756.ece,"The annual event, embraced the theme 'Sleeping Beauties: Reawakening Fashion', deviating from its customary extravagance to focus on the revival of timeless garments from bygone eras","Tue, 07 May 2024 14:30:33 +0530",Entertainment
Met Gala 2024: Sabyasachi Mukherjee becomes the first Indian fashion designer to walk the carpet,https://www.thehindu.com/entertainment/met-gala-2024-sabyasachi-mukherjee-becomes-the-first-indian-fashion-designer-to-walk-the-carpet/article68148443.ece,"The popular designer, who created history with his appearance, sported a relaxed yet stylish look at the annual fashion extravaganza","Tue, 07 May 2024 13:00:16 +0530",Entertainment
Met Gala 2024: Indians who shone on the red carpet ,https://www.thehindu.com/entertainment/movies/met-gala-2024-indians-who-shone-on-the-red-carpet/article68148334.ece,"From Alia Bhatt to Natasha Poonawalla, here are the prominent Indians who dazzled at the prestigious fashion ball and fund-raiser","Tue, 07 May 2024 12:02:15 +0530",Movies
A peek at the world’s first jeans made of discarded cigarette butts at Lee Cooper,https://www.thehindu.com/life-and-style/fashion/the-worlds-first-jeans-from-discarded-cigarette-butts-feature-in-lee-cooper-eco-collection/article68131397.ece,Reliance retail and Code Effort join hands to launch the world’s first jeans made of discarded cigarette butts as part of the Lee Cooper Eco Collection ,"Sat, 04 May 2024 13:48:14 +0530",Fashion
French luxury brand Hermès opens its new store at Mumbai’s BKC,https://www.thehindu.com/life-and-style/fashion/herm%C3%A8s-opens-its-new-store-at-mumbais-bkc/article68123945.ece,"Hermès’ latest store in the city brings the label’s silks, home decor, jewellery, watches and apparel","Fri, 03 May 2024 14:53:13 +0530",Fashion
