Title,Link,Description,Publication Date,Category,New_description
"CSDS-Lokniti post-poll survey: In Chhattisgarh, women voters give a push to BJP",https://www.thehindu.com/elections/lok-sabha/csds-lokniti-post-poll-survey-in-chhattisgarh-women-voters-give-a-push-to-bjp/article68266734.ece,An interesting pattern that emerges from Chhattisgarh is that non-Congress/non-BJP candidates got support almost exclusively from men only — thus slightly fragmenting the male vote at the cost of the Congress.,"Sun, 09 Jun 2024 01:00:04 +0530",Lok Sabha Elections,An interesting pattern that emerges from Chhattisgarh is that non-Congress/non-BJP candidates got support almost exclusively from men only — thus slightly fragmenting the male vote at the cost of the Congress.
"With model code lifted, TGIIC allots land to 113 firms investing ₹2,200 crore in Telangana ",https://www.thehindu.com/news/cities/Hyderabad/with-model-code-lifted-tgiic-allots-land-to-113-firms-investing-2200-crore-in-telangana/article68266987.ece,,"Sun, 09 Jun 2024 00:56:42 +0530",Hyderabad,"With model code lifted, TGIIC allots land to 113 firms investing ₹2,200 crore in Telangana "
‘Explain the process for offering grace marks’ ,https://www.thehindu.com/news/national/telangana/explain-the-process-for-offering-grace-marks/article68266654.ece,,"Sun, 09 Jun 2024 00:54:47 +0530",Telangana,‘Explain the process for offering grace marks’ 
CSDS-Lokniti post-poll survey: BJP faces minor challenges in Gujarat,https://www.thehindu.com/elections/lok-sabha/csds-lokniti-post-poll-survey-bjp-faces-minor-challenges-in-gujarat/article68266735.ece,The BJP has a uniform and robust vote share both in rural and urban areas with almost two in every three voters supporting it but the Congress was able to register a slightly better support of voters from rural areas than in urban areas.,"Sun, 09 Jun 2024 00:45:20 +0530",Lok Sabha Elections,The BJP has a uniform and robust vote share both in rural and urban areas with almost two in every three voters supporting it but the Congress was able to register a slightly better support of voters from rural areas than in urban areas.
"It is people’s aspiration to see me in the Union Cabinet, says C.N. Manjunath ",https://www.thehindu.com/news/national/karnataka/it-is-peoples-aspiration-to-see-me-in-the-union-cabinet-says-cn-manjunath/article68266900.ece,The MP-elect from Bengaluru Rural says his victory was possible because those who were treated at Jayadeva became his ‘ambassadors’,"Sun, 09 Jun 2024 00:40:43 +0530",Karnataka,The MP-elect from Bengaluru Rural says his victory was possible because those who were treated at Jayadeva became his ‘ambassadors’
"CSDS-Lokniti post-poll survey: UDF strikes in Kerala, thanks to strong anti-incumbency wave",https://www.thehindu.com/elections/lok-sabha/csds-lokniti-post-poll-survey-udf-strikes-in-kerala-thanks-to-strong-anti-incumbency-wave/article68266731.ece,"In the 2024 Lok Sabha election in Kerala, the Congress-led front won 18 out of 20 seats; BJP secured its first seat in the State while the LDF retained only one seat; voters considered 2024 poll more as a direct contest between the UDF and the NDA","Sun, 09 Jun 2024 00:38:04 +0530",Lok Sabha Elections,"In the 2024 Lok Sabha election in Kerala, the Congress-led front won 18 out of 20 seats; BJP secured its first seat in the State while the LDF retained only one seat; voters considered 2024 poll more as a direct contest between the UDF and the NDA"
"Taking advantage of a ‘weakened’ BJP, fight for T.N.’s demands, says Chief Minister Stalin",https://www.thehindu.com/news/national/tamil-nadu/taking-advantage-of-a-weakened-bjp-fight-for-tns-demands-says-chief-minister-stalin/article68267196.ece,,"Sun, 09 Jun 2024 00:35:40 +0530",Tamil Nadu,"Taking advantage of a ‘weakened’ BJP, fight for T.N.’s demands, says Chief Minister Stalin"
 Residents demand speed breakers on arterial road to prevent accidents ,https://www.thehindu.com/news/national/tamil-nadu/residents-demand-speed-breakers-on-arterial-road-to-prevent-accidents/article68266434.ece," As the stretch is on the pilgrim route, more vehicular movement is witnessed, leading to frequent accidents. No concreate measure were take by the government to ensure the safety of the public, say residents","Sun, 09 Jun 2024 00:11:41 +0530",Tamil Nadu," As the stretch is on the pilgrim route, more vehicular movement is witnessed, leading to frequent accidents. No concreate measure were take by the government to ensure the safety of the public, say residents"
New borewell for Chendathur village as contaminated water plagues its residents  ,https://www.thehindu.com/news/national/tamil-nadu/new-borewell-for-chendathur-village-as-contaminated-water-plagues-its-residents/article68266454.ece,The new borewell is around 900-ft-deep as the area is an arid region,"Sun, 09 Jun 2024 00:07:45 +0530",Tamil Nadu,The new borewell is around 900-ft-deep as the area is an arid region
Unfinished sewerage work clogs traffic in city ,https://www.thehindu.com/news/national/telangana/unfinished-sewerage-work-clogs-traffic-in-city/article68267095.ece,,"Sun, 09 Jun 2024 00:06:19 +0530",Telangana,Unfinished sewerage work clogs traffic in city 
SIT formed to probe cattle transporters’ death in Chhattisgarh,https://www.thehindu.com/news/national/chhattisgarh/sit-formed-to-probe-cattle-transporters-death-in-chhattisgarh/article68267134.ece,Case of culpable homicide registered; no arrests yet,"Sun, 09 Jun 2024 00:05:18 +0530",Chhattisgarh,Case of culpable homicide registered; no arrests yet
 Students can travel free on govt. buses till they get passes ,https://www.thehindu.com/news/national/tamil-nadu/students-can-travel-free-on-govt-buses-till-they-get-passes/article68266456.ece,,"Sun, 09 Jun 2024 00:04:54 +0530",Tamil Nadu, Students can travel free on govt. buses till they get passes 
"Three held for possession of ganja near Katpadi, Arakkonam railway stations",https://www.thehindu.com/news/national/tamil-nadu/three-held-for-possession-of-ganja-near-katpadi-arakkonam-railway-stations/article68266447.ece,,"Sun, 09 Jun 2024 00:02:56 +0530",Tamil Nadu,"Three held for possession of ganja near Katpadi, Arakkonam railway stations"
Body in water tank: police rule out foul play  ,https://www.thehindu.com/news/national/telangana/body-in-water-tank-police-rule-out-foul-play/article68266804.ece,,"Sun, 09 Jun 2024 00:00:38 +0530",Telangana,Body in water tank: police rule out foul play  
Delta Air Lines urged to explore direct flights to Hyderabad ,https://www.thehindu.com/news/cities/Hyderabad/delta-air-lines-urged-to-explore-direct-flights-to-hyderabad/article68267176.ece,,"Sat, 08 Jun 2024 23:57:25 +0530",Hyderabad,Delta Air Lines urged to explore direct flights to Hyderabad 
Two held for smuggling mud from irrigation tank near Arani ,https://www.thehindu.com/news/national/tamil-nadu/two-held-for-smuggling-mud-from-irrigation-tank-near-arani/article68266441.ece,,"Sat, 08 Jun 2024 23:50:20 +0530",Tamil Nadu,Two held for smuggling mud from irrigation tank near Arani 
Making miracles out of donkey farm  ,https://www.thehindu.com/news/national/kerala/making-miracles-out-of-donkey-farm/article68258531.ece,"Yadhukrishna’s venture, Miracle Donkeys, is making waves in Malabar.","Sat, 08 Jun 2024 23:37:36 +0530",Kerala,"Yadhukrishna’s venture, Miracle Donkeys, is making waves in Malabar."
"ECI seeks action against Odisha IPS officer, revokes suspension on another",https://www.thehindu.com/news/national/eci-seeks-action-against-odisha-ips-officer-revokes-suspension-on-another/article68267557.ece,"In a letter to the Chief Electoral Officer of Odisha, the ECI said the report of the special medical board of AIIMS, Bhubaneswar, has declared Ashish Kumar Singh, a 2010 batch IPS officer, physically and mentally fit","Sat, 08 Jun 2024 23:14:32 +0530",India,"In a letter to the Chief Electoral Officer of Odisha, the ECI said the report of the special medical board of AIIMS, Bhubaneswar, has declared Ashish Kumar Singh, a 2010 batch IPS officer, physically and mentally fit"
"Normalisation of ties with China must be based on mutual respect, mutual interest, mutual sensitivity: India",https://www.thehindu.com/news/national/normalisation-of-ties-with-china-must-be-based-on-mutual-respect-mutual-interest-mutual-sensitivity-india/article68267544.ece,Ministry of External Affairs Spokesperson Randhir Jaiswal was replying to a congratulatory message to Narendra Modi posted by the Chinese Foreign Ministry on X,"Sat, 08 Jun 2024 23:06:26 +0530",India,Ministry of External Affairs Spokesperson Randhir Jaiswal was replying to a congratulatory message to Narendra Modi posted by the Chinese Foreign Ministry on X
Farm workers from West Bengal are sought after for their efficient paddy transplantation work ,https://www.thehindu.com/news/cities/Tiruchirapalli/farm-workers-from-west-bengal-are-sought-after-for-their-efficient-paddy-transplantation-work/article68266799.ece,"A group of 13 workers can complete transplantation on four to five acres; they have been hired every year in Pudukottai, Tiruchi and Mayiladuthurai districts for the past three years   ","Sat, 08 Jun 2024 23:06:23 +0530",Tiruchirapalli,"A group of 13 workers can complete transplantation on four to five acres; they have been hired every year in Pudukottai, Tiruchi and Mayiladuthurai districts for the past three years   "
Actor-turned-Trinamool MLA Soham Chakraborty assaults restaurant owner in Kolkata after tiff over parking,https://www.thehindu.com/news/national/actor-turned-trinamool-mla-soham-chakraborty-assaults-restaurant-owner-in-kolkata-after-tiff-over-parking/article68266503.ece,The Chandipur MLA alleged that he lost his cool after the restaurant owner hurled abuses against Trinamool leader Abhishek Banerjee,"Sat, 08 Jun 2024 23:00:34 +0530",India,The Chandipur MLA alleged that he lost his cool after the restaurant owner hurled abuses against Trinamool leader Abhishek Banerjee
"VIP culture is not acceptable, Yogi Adityanath tells Ministers",https://www.thehindu.com/news/national/uttar-pradesh/vip-culture-is-not-acceptable-yogi-adityanath-tells-ministers/article68267149.ece,Uttar Pradesh Chief Minister Yogi Adityanath categorically stated that VIP culture is not acceptable. ,"Sat, 08 Jun 2024 22:54:42 +0530",Uttar Pradesh,Uttar Pradesh Chief Minister Yogi Adityanath categorically stated that VIP culture is not acceptable. 
"Rajasthan CM announces ₹2,000 hike in Kisan Samman Nidhi assistance to farmers after BJP’s dismal performance in LS poll",https://www.thehindu.com/news/national/rajasthan-cm-announces-2000-hike-in-kisan-samman-nidhi-assistance-to-farmers-after-bjps-dismal-performance-in-ls-poll/article68266934.ece,"With the State government’s added contribution, which the BJP had promised ahead of the 2023 Assembly election, Rajasthan farmers will now get paid ₹8,000 per year under the Kisan Samman Nidhi","Sat, 08 Jun 2024 22:52:32 +0530",India,"With the State government’s added contribution, which the BJP had promised ahead of the 2023 Assembly election, Rajasthan farmers will now get paid ₹8,000 per year under the Kisan Samman Nidhi"
"INDIA bloc partners should work cohesively, collectively: Kharge",https://www.thehindu.com/news/national/kharge-sounds-a-word-of-caution-on-congresss-poor-electoral-performance-in-states-where-it-is-in-power/article68266733.ece,Congress president hails the parties in alliance and urges them to work collectively within and outside Parliament; also calls for remedial steps in States where the Congress did not perform well,"Sat, 08 Jun 2024 22:51:38 +0530",India,Congress president hails the parties in alliance and urges them to work collectively within and outside Parliament; also calls for remedial steps in States where the Congress did not perform well
Pvt. hospitals directed to instal colour-coded boards with registration number and other details to weed out fraudsters,https://www.thehindu.com/news/national/karnataka/pvt-hospitals-directed-to-instal-colour-coded-boards-with-registration-number-and-other-details-to-weed-out-fraudsters/article68266496.ece,,"Sat, 08 Jun 2024 22:45:48 +0530",Karnataka,Pvt. hospitals directed to instal colour-coded boards with registration number and other details to weed out fraudsters
Narendra Modi’s coalition Ministry set to assume office on June 9,https://www.thehindu.com/news/national/narendra-modi-coalition-government/article68267333.ece,"TDP likely to get four berths; former CMs such as Chouhan may find a place in govt; over 9,000 invitees, including heads of nations, labourers, welfare beneficiaries, will attend oath-taking event","Sat, 08 Jun 2024 22:45:21 +0530",India,"TDP likely to get four berths; former CMs such as Chouhan may find a place in govt; over 9,000 invitees, including heads of nations, labourers, welfare beneficiaries, will attend oath-taking event"
Narendra Modi swearing-in | ‘Neighbourhood First’ to be on show  ,https://www.thehindu.com/elections/lok-sabha/narendra-modi-to-take-oath-as-prime-minister-for-third-consecutive-term/article68267202.ece,Dignitaries and special invitees from India’s neighbouring countries and the Indian Ocean Region will attend the ceremony,"Sat, 08 Jun 2024 22:43:47 +0530",Lok Sabha Elections,Dignitaries and special invitees from India’s neighbouring countries and the Indian Ocean Region will attend the ceremony
Bodies of 4 students who drowned in Russia recovered,https://www.thehindu.com/news/national/bodies-of-4-students-who-drowned-in-russia-recovered/article68267168.ece,The mortal remains are likely be sent to India on June 10 ,"Sat, 08 Jun 2024 22:25:43 +0530",India,The mortal remains are likely be sent to India on June 10 
Jarange-Patil begins fresh hunger strike for Maratha quota,https://www.thehindu.com/news/national/maharashtra/jarange-patil-begins-fresh-hunger-strike-for-maratha-quota/article68267222.ece,"Activist seeks implementation of proposal to recognise all Maratha blood relatives as Kunbis, who are eligible for OBC certificates; threatens to field candidates in Maharashtra Assembly poll if demand not met","Sat, 08 Jun 2024 22:19:57 +0530",Maharashtra,"Activist seeks implementation of proposal to recognise all Maratha blood relatives as Kunbis, who are eligible for OBC certificates; threatens to field candidates in Maharashtra Assembly poll if demand not met"
HC directs school management to reimburse medical and educational expenses of girl who was partially blinded in scuffle between classmates,https://www.thehindu.com/news/national/tamil-nadu/hc-directs-school-management-to-reimburse-medical-and-educational-expenses-of-girl-who-was-partially-blinded-in-scuffle-between-classmates/article68266027.ece,Justice G.K. Ilanthiraiyan orders that the tuition fees must be reimbursed until the girl completes her school education,"Sat, 08 Jun 2024 22:17:21 +0530",Tamil Nadu,Justice G.K. Ilanthiraiyan orders that the tuition fees must be reimbursed until the girl completes her school education
Ballari leaders’ association with controversies,https://www.thehindu.com/news/national/karnataka/ballari-leaders-association-with-controversies/article68266589.ece,"In the latest instance, four-time MLA B. Nagendra resigned as Minister for Scheduled Tribes Welfare","Sat, 08 Jun 2024 22:16:35 +0530",Karnataka,"In the latest instance, four-time MLA B. Nagendra resigned as Minister for Scheduled Tribes Welfare"
Congress Working Committee asks Rahul Gandhi to accept Leader of Opposition post in Lok Sabha,https://www.thehindu.com/elections/lok-sabha/congress-working-committee-asks-rahul-gandhi-to-accept-leader-of-opposition-post-in-lok-sabha/article68267280.ece,Priyanka Gandhi-Vadra applauds her brother for his belief in Congress’s ability to fight back; CWC says Bharat Jodo and Bharat Jodo Nyay yatras were turning points for party workers and voters,"Sat, 08 Jun 2024 22:12:40 +0530",Lok Sabha Elections,Priyanka Gandhi-Vadra applauds her brother for his belief in Congress’s ability to fight back; CWC says Bharat Jodo and Bharat Jodo Nyay yatras were turning points for party workers and voters
Midday meal scheme rate revision: concern over impact on lower primary schools,https://www.thehindu.com/news/national/kerala/midday-meal-scheme-rate-revision-concern-over-impact-on-lower-primary-schools/article68267415.ece,,"Sat, 08 Jun 2024 22:09:41 +0530",Kerala,Midday meal scheme rate revision: concern over impact on lower primary schools
