Title,Link,Description,Publication Date,Category
T20 World Cup 2024 | New York braces for marquee India-Pakistan clash,https://www.thehindu.com/sport/cricket/t20-world-cup-2024-new-york-braces-for-marquee-india-pakistan-clash/article68267599.ece,Rohit’s men will be the happier side heading into the big-ticket affair while their counterparts are in a must-win situation after the demoralising loss against the USA; the focus will be on the pitch again,"Sun, 09 Jun 2024 00:15:53 +0530",Cricket
T20 World Cup 2024 | Pakistan would look to exploit the vagaries of the New York deck,https://www.thehindu.com/sport/cricket/t20-world-cup-2024-pakistan-would-look-to-exploit-the-vagaries-of-the-new-york-deck/article68267587.ece,,"Sat, 08 Jun 2024 23:26:33 +0530",Cricket
IND vs PAK | Even the pitch curator is confused about the New York track: Rohit Sharma ,https://www.thehindu.com/sport/cricket/ind-vs-pak-even-curator-is-confused-about-ny-pitches-rohit-sharma/article68267491.ece,"The matches in New York have seen low scores, including in India's first match against Ireland when the latter was bowled out for a sub-100 total","Sat, 08 Jun 2024 22:35:07 +0530",Cricket
"Kohli, Bumrah can take game away from Pakistan: All-rounder Fawad Alam",https://www.thehindu.com/sport/cricket/kohli-bumrah-can-take-game-away-from-pakistan-all-rounder-fawad-alam/article68266642.ece, 	“I feel Mohammad Amir will redeem himself and give a match-winning performance against India.”,"Sat, 08 Jun 2024 18:45:27 +0530",Cricket
Focussed on our own skills rather than opposition: Rashid Khan,https://www.thehindu.com/sport/cricket/focussed-on-our-own-skills-rather-than-opposition-rashid-khan/article68266341.ece," For Rashid, it is the effort that matters more than the results as he believes that if a team is good enough, results take care of itself.","Sat, 08 Jun 2024 17:10:09 +0530",Cricket
T20 World Cup: Bangladesh beat Sri Lanka by 2 wickets,https://www.thehindu.com/sport/cricket/t20-world-cup-bangladesh-beat-sri-lanka-by-2-wickets/article68265800.ece,Bangladesh restricted Sri Lanka to 124 as Mustafizur Rahman and Rishad Hossain took three wickets a piece,"Sat, 08 Jun 2024 10:44:11 +0530",Cricket
"T20 World Cup | Afganistan bowl out New Zealand for 75, secure 84-run upset win",https://www.thehindu.com/sport/cricket/t20-world-cup-afganistan-bowl-out-new-zealand-for-75-secure-84-run-upset-win/article68265739.ece,Rashid Khan and Fazalhaq Farooqi took four wickets each after the team set a target of 160,"Sat, 08 Jun 2024 09:00:45 +0530",Cricket
Netravalkar living the dream as the toast of the cricket world,https://www.thehindu.com/sport/cricket/netravalkar-living-the-dream-as-the-toast-of-the-cricket-world/article68264730.ece,,"Sat, 08 Jun 2024 00:35:46 +0530",Cricket
T20 World Cup 2024 | A self-assured Hardik bodes well for India,https://www.thehindu.com/sport/cricket/t20-world-cup-2024-a-self-assured-hardik-bodes-well-for-india/article68264719.ece,The all-rounder hits the ground running with a three-wicket haul against Ireland; the Mumbai Indians skipper says he is happy to start the tournament on a good note,"Sat, 08 Jun 2024 00:29:38 +0530",Cricket
Will leave no stone unturned in ensuring safety: Nassau officials,https://www.thehindu.com/sport/cricket/will-leave-no-stone-unturned-in-ensuring-safety-nassau-officials/article68264716.ece,,"Sat, 08 Jun 2024 00:24:43 +0530",Cricket
Mental scars will remain for Pakistan after USA game: Sidhu,https://www.thehindu.com/sport/cricket/mental-scars-will-remain-for-pakistan-after-usa-game-sidhu/article68264710.ece,,"Sat, 08 Jun 2024 00:21:34 +0530",Cricket
"Canada shocks Ireland, records first win in T20 World Cup",https://www.thehindu.com/sport/cricket/canada-shocks-ireland-record-first-win-in-t20-world-cup/article68264659.ece,Canada won their first match at any Twenty20 World Cup when they stunned Ireland by 12 runs in a Group A game in New York on Friday.,"Sat, 08 Jun 2024 00:00:29 +0530",Cricket
Is Gautam Gambhir the right man to take India’s reins?,https://www.thehindu.com/sport/cricket/is-gautam-gambhir-the-right-man-to-take-indias-reins/article68264640.ece,"The former opener has won trophies as both player and coach. So, it’s no surprise that his name is doing the rounds as a probable successor to Rahul Dravid","Fri, 07 Jun 2024 23:39:45 +0530",Cricket
"United States of India: From Ahmedabad, Ooty, Mumbai, Delhi, meet USA's giant slayers",https://www.thehindu.com/sport/cricket/united-states-of-india-from-ahmedabad-ooty-mumbai-delhi-meet-usas-giant-slayers/article68262509.ece,Meet the stars of the T20 World Cup debutants USA who stunned the cricket world by beating last edition's finalists Pakistan.,"Fri, 07 Jun 2024 14:44:46 +0530",Cricket
T20 World Cup 2024: New Zealand faces Afghanistan test; Sri Lanka takes on Bangladesh,https://www.thehindu.com/sport/cricket/icc-twenty20-world-cup-2024-june-8-matches-in-guyana-and-dallas/article68262506.ece, New Zealand find themselves in the a difficult group with two-time champions West Indies and Afghanistan also vying for the the top two spots.,"Fri, 07 Jun 2024 14:30:03 +0530",Cricket
T20 World Cup 2024: England eyes improved bowling effort to halt formidable Australia,https://www.thehindu.com/sport/cricket/icc-twenty20-world-cup-2024-matches-in-barbados-and-new-york-on-june-8-2024/article68262513.ece,"South Africa might have trotted past Sri Lanka in their first match, but they have a tricky opponent in Netherlands in their second group D match in New York on June 8.","Fri, 07 Jun 2024 14:18:49 +0530",Cricket
T20 World Cup: USA hands shock defeat to Pakistan after forcing Super Over,https://www.thehindu.com/sport/cricket/t20-world-cup-usa-shocks-cricket-heavyweight-pakistan-after-forcing-super-over/article68261868.ece,The United States scored a major upset at the T20 World Cup by beating heavyweights Pakistan in the Super Over,"Fri, 07 Jun 2024 05:47:00 +0530",Cricket
"There is a lot of experience, lot of honesty within our bowling core group: Hardik Pandya",https://www.thehindu.com/sport/cricket/there-is-a-lot-of-experience-lot-of-honesty-within-our-bowling-core-group-hardik-pandya/article68260364.ece,India started their campaign with an eight-wicket victory over Ireland,"Fri, 07 Jun 2024 03:21:00 +0530",Cricket
T20 World Cup: Pakistan complaint forces ICC to change its New York hotel,https://www.thehindu.com/sport/cricket/t20-world-cup-pakistan-complaint-forces-icc-to-change-its-new-york-hotel/article68260371.ece,Pakistan will travel to New York after playing its opening Group A game against co-host United States in Dallas ,"Fri, 07 Jun 2024 03:05:00 +0530",Cricket
Rohit Sharma completes 600 sixes in international cricket,https://www.thehindu.com/sport/cricket/rohit-sharma-completes-600-sixes-in-international-cricket/article68260359.ece,"Rohit Sharma has 4137 runs in Tests, 10, 709 runs in ODIs and 4001 runs in the T20Is","Fri, 07 Jun 2024 02:42:00 +0530",Cricket
Uganda claim first ever T20 World Cup victory with win over PNG,https://www.thehindu.com/sport/cricket/uganda-claim-first-ever-t20-world-cup-victory-with-win-over-png/article68260336.ece,"The Ugandans celebrated their victory by dancing on the edge of the field as the team, which beat out more established cricketing nation Zimbabwe to reach the tournament, picked up their first points","Thu, 06 Jun 2024 22:14:06 +0530",Cricket
T20 World Cup: Stoinis stars in Australia’s comprehensive 39-run win against Oman,https://www.thehindu.com/sport/cricket/t20-world-cup-stoinis-stars-in-australias-comprehensive-39-run-win-against-oman/article68260278.ece,Stoinis helped Australia recover from a top-order slide with a brutal unbeaten 67-run knock off 36 balls,"Thu, 06 Jun 2024 22:03:34 +0530",Cricket
It certainly is about mindset: Ponting on talent-rich India's global trophy drought,https://www.thehindu.com/sport/cricket/it-certainly-is-about-mindset-ponting-on-talent-rich-indias-global-trophy-drought/article68258418.ece,"Cricket's powerhouse India, who last won an ICC trophy in 2013, began their T20 World Cup campaign on an emphatic note in New York on Wednesday, beating Ireland by eight wickets.","Thu, 06 Jun 2024 15:59:01 +0530",Cricket
T20 World Cup 2024: Rohit Sharma doing fine but New York’s drop-in pitch faces criticism,https://www.thehindu.com/sport/cricket/t20-world-cup-2024-rohit-sharma-doing-fine-but-new-yorks-drop-in-pitch-faces-criticism/article68258421.ece,"India opened their campaign with an eight-wicket win in a low-scoring match against Ireland, who were bowled out of 96 in just 16 overs.","Thu, 06 Jun 2024 15:53:12 +0530",Cricket
T20 World Cup: Ireland bank on stalwarts to fire against newcomers Canada,https://www.thehindu.com/sport/cricket/icc-twenty20-world-cup-2024-matches-on-june-7-2024/article68258419.ece,"Namibia were superb in the 'Super Over' win over Oman and that trial by fire would have given them the confidence to take on Scotland, who will be playing their second game after their opener against England was rained off.","Thu, 06 Jun 2024 15:44:02 +0530",Cricket
"India vs Ireland, T20 World Cup: Michael Vaughan tears into New York pitch, calls it ‘sub-standard’",https://www.thehindu.com/sport/cricket/india-vs-ireland-t20-world-cup-michael-vaughan-tears-into-new-york-pitch-calls-it-sub-standard/article68257788.ece,"On a pitch that had plenty of bounce and seam, Indian bowlers, led by Hardik Pandya, Jasprit Bumrah and Arshdeep Singh, bundled out Ireland for a paltry 96.","Thu, 06 Jun 2024 08:12:02 +0530",Cricket
TNCA plans to build a state-of-the-art complex,https://www.thehindu.com/sport/cricket/tnca-plans-to-build-a-state-of-the-art-complex/article68255566.ece,"The idea is to build four grounds in the same complex, similar to what other states already have, like KSCA’s Alur grounds near Bengaluru","Thu, 06 Jun 2024 00:38:00 +0530",Cricket
Twenty20 World Cup: Indian pacers rip through Ireland line-up on a minefield as India begins with a bang,https://www.thehindu.com/sport/cricket/twenty20-world-cup-hardik-rohit-shine-as-india-start-off-campaign-with-8-wicket-win-over-ireland/article68256749.ece,"Arshdeep removes the openers cheaply before Hardik, Bumrah and Siraj strike at regular intervals; chasing a 97-run target, Rohit-Pant seal the deal","Wed, 05 Jun 2024 23:38:01 +0530",Cricket
"Twenty20 World Cup: Australia chases history, Pakistan opens campaign against USA",https://www.thehindu.com/sport/cricket/icc-twenty20-world-cup-matches-on-june-6-2024/article68254712.ece,Papua New Guinea put up a strong show against the West Indies. The two-time champions were put under extreme pressure by PNG bowlers.,"Wed, 05 Jun 2024 16:29:22 +0530",Cricket
Netherlands open Twenty20 World Cup campaign with six-wicket win over Nepal,https://www.thehindu.com/sport/cricket/netherlands-open-twenty20-world-cup-campaign-with-six-wicket-win-over-nepal/article68254025.ece,"Dutch opener Max O'Dowd led the successful chase, hitting 54 not out in 48 balls ","Wed, 05 Jun 2024 11:10:19 +0530",Cricket
"Scotland, England share a point each as rain abandons T20 World Cup match",https://www.thehindu.com/sport/cricket/scotland-england-share-a-point-each-as-rain-abandons-t20-world-cup-match/article68253868.ece,England’s target was revised to 109 runs needed off 10 overs via the DLS method,"Wed, 05 Jun 2024 08:08:40 +0530",Cricket
T20 World Cup 2024 | Tried talking Dravid into staying longer as head coach: Rohit,https://www.thehindu.com/sport/cricket/t20-world-cup-2024-tried-talking-dravid-into-staying-longer-as-head-coach-rohit/article68252958.ece,,"Wed, 05 Jun 2024 00:59:49 +0530",Cricket
Maintaining a balance between the cricket and the cricketers,https://www.thehindu.com/sport/cricket/maintaining-a-balance-between-the-cricket-and-the-cricketers/article68251149.ece,,"Wed, 05 Jun 2024 00:30:00 +0530",Cricket
"Ashwin rejoins India Cements, set to play a big role in Superking
Ventures",https://www.thehindu.com/sport/ashwin-rejoins-india-cements-set-to-play-a-big-role-in-superking-ventures/article68251647.ece,,"Tue, 04 Jun 2024 23:00:00 +0530",Sport
Rohit & Co. will not take Ireland lightly in alien conditions,https://www.thehindu.com/sport/cricket/rohit-co-will-not-take-ireland-lightly-in-alien-conditions/article68252080.ece,The experienced Indian batting line-up will have to bring its A-game in a ground that has shown signs of being a bowler’s paradise,"Tue, 04 Jun 2024 21:27:15 +0530",Cricket
T20 World Cup 2024: Global interest spikes as Rohit’s men are all set for World Cup kick off,https://www.thehindu.com/sport/cricket/t20-world-cup-2024-india-take-on-ireland-in-opener-on-june-05/article68250285.ece,The experienced Indian batting line-up will have to bring its A-game against Ireland in a ground that has been a bowler’s paradise till now,"Tue, 04 Jun 2024 16:12:14 +0530",Cricket
T20 World Cup 2024: Farooqi's maiden five-wicket haul seals 125-run win for Afghanistan over Uganda ,https://www.thehindu.com/sport/t20-world-cup-2024-farooqis-maiden-five-wicket-haul-seals-125-run-win-for-afghanistan-over-uganda/article68249252.ece,Afghanistan defended 183 against Uganda thanks to the fiery spell from Fazalhaq Farooqi,"Tue, 04 Jun 2024 10:03:50 +0530",Sport
