Title,Link,Description,Publication Date,Category,New_description
A satyagrahi who funded the education of countless women in the Kongu region,https://www.thehindu.com/news/national/tamil-nadu/a-satyagrahi-who-funded-the-education-of-countless-women-in-the-kongu-region/article68286782.ece,"T.S. Avinashilingam, who was born in 1903, established an orphanage in Coimbatore after gaining a law degree in 1924. As the Education Minister of the Madras Presidency, he advocated Tamil as the medium in secondary education. He initiated a scheme aimed at holistic development rather than turning out clerks and subordinates","Fri, 14 Jun 2024 00:18:32 +0530",Tamil Nadu,"T.S. Avinashilingam, who was born in 1903, established an orphanage in Coimbatore after gaining a law degree in 1924. As the Education Minister of the Madras Presidency, he advocated Tamil as the medium in secondary education. He initiated a scheme aimed at holistic development rather than turning out clerks and subordinates"
CRPF soldier laid to rest in home village in Chhindwara,https://www.thehindu.com/news/national/crpf-soldier-laid-to-rest-in-home-village-in-chhindwara/article68286194.ece,,"Fri, 14 Jun 2024 00:17:20 +0530",India,CRPF soldier laid to rest in home village in Chhindwara
No progress in holding elections for tribal village committees in Tripura,https://www.thehindu.com/news/national/tripura/no-progress-in-holding-elections-for-tribal-village-committees-in-tripura/article68285732.ece,Regional parties and forums representing indigenous people blame the State government for deliberately deferring the election to Village Committees over political considerations,"Fri, 14 Jun 2024 00:16:31 +0530",Tripura,Regional parties and forums representing indigenous people blame the State government for deliberately deferring the election to Village Committees over political considerations
Robert Clive survived gunshot at the battle for Samayapuram,https://www.thehindu.com/news/national/tamil-nadu/robert-clive-survived-gunshot-at-the-battle-for-samayapuram/article68286775.ece,"Robert Clive was wounded in two places in 1752 at the Mariamman temple at Samayapuram in Tiruchi, where a fierce battle broke out between the British and the French, according to F.R. Hemingway, an ICS officer, in his Trichinopoly District Gazette","Fri, 14 Jun 2024 00:14:22 +0530",Tamil Nadu,"Robert Clive was wounded in two places in 1752 at the Mariamman temple at Samayapuram in Tiruchi, where a fierce battle broke out between the British and the French, according to F.R. Hemingway, an ICS officer, in his Trichinopoly District Gazette"
J&K schools told to play national anthem daily,https://www.thehindu.com/news/national/jk-schools-told-to-play-national-anthem-daily/article68286400.ece,Singing the national anthem is part of new guidelines issued by the School Education department for these schools for morning assemblies,"Fri, 14 Jun 2024 00:12:08 +0530",India,Singing the national anthem is part of new guidelines issued by the School Education department for these schools for morning assemblies
"Dakshina Pradesh, an agglomeration of southern States, remained a non-starter",https://www.thehindu.com/news/national/tamil-nadu/dakshina-pradesh-an-agglomeration-of-southern-states-remained-a-non-starter/article68286770.ece,"The idea of Dakshina Pradesh, comprising the States of Madras, Travancore-Cochin, and Mysore (with the addition of Kannada-speaking areas of Hyderabad and Bombay), was proposed when the States Reorganisation Commission was winding up its work in 1955 and formation of Karnataka and Kerala, on linguistic lines, was in sight","Fri, 14 Jun 2024 00:11:46 +0530",Tamil Nadu,"The idea of Dakshina Pradesh, comprising the States of Madras, Travancore-Cochin, and Mysore (with the addition of Kannada-speaking areas of Hyderabad and Bombay), was proposed when the States Reorganisation Commission was winding up its work in 1955 and formation of Karnataka and Kerala, on linguistic lines, was in sight"
Manipur Cabinet panel to oversee rehabilitation of internally displaced persons ,https://www.thehindu.com/news/national/manipur-cabinet-panel-to-oversee-rehabilitation-of-internally-displaced-persons/article68286735.ece,"Over 50,000 people have been internally displaced since the conflict began, most of whom are living in relief camps across the State ","Fri, 14 Jun 2024 00:09:12 +0530",India,"Over 50,000 people have been internally displaced since the conflict began, most of whom are living in relief camps across the State "
"CID recover ₹3.5 crore cash from premises linked to MD, Valmiki Development Corporation ",https://www.thehindu.com/news/cities/bangalore/cid-recover-35-crore-cash-from-premises-linked-to-md-valmiki-development-corporation/article68286583.ece,,"Thu, 13 Jun 2024 23:56:29 +0530",Bengaluru,"CID recover ₹3.5 crore cash from premises linked to MD, Valmiki Development Corporation "
Record 2 lakh Olive Ridley hatchlings released into sea from Tamil Nadu coast ,https://www.thehindu.com/news/national/tamil-nadu/record-2-lakh-olive-ridley-hatchlings-released-into-sea-from-tamil-nadu-coast/article68286238.ece,,"Thu, 13 Jun 2024 23:52:18 +0530",Tamil Nadu,Record 2 lakh Olive Ridley hatchlings released into sea from Tamil Nadu coast 
Selvaperunthagai criticises lack of Muslim representation in Modi’s Cabinet,https://www.thehindu.com/news/national/tamil-nadu/selvaperunthagai-criticises-lack-of-muslim-representation-in-modi-cabinet/article68284834.ece,He charges that the National Democratic Alliance regime has started functioning against the principle of secularism enshrined in the Constitution,"Thu, 13 Jun 2024 23:41:16 +0530",Tamil Nadu,He charges that the National Democratic Alliance regime has started functioning against the principle of secularism enshrined in the Constitution
25-year-old man betean to death,https://www.thehindu.com/news/national/karnataka/security-guards-booked-for-beating-a-suspected-thief-to-death/article68286619.ece,,"Thu, 13 Jun 2024 23:39:09 +0530",Karnataka,25-year-old man betean to death
